OID,Id,ORIG_FID,vbdsf1,vbdsf2,vbdsf3,vbdsf4,vbdsf5,vbdsf6,vbdsf7,vbdsf8,vbdsf9,vbdsf10,vbdsf11,vbdsf12
7974,49951,11097,24.95995331,44.69995499,72.87661743,99.1632843,119.779953,120.8032684,112.9832764,100.9532776,76.23995209,49.59328461,28.05328941,18.60662079
7975,49952,11098,22.8499527,41.29662323,66.59328461,92.05327606,111.2532883,111.6766052,106.1832809,96.69661713,73.60328674,46.80662537,26.3499527,17.46328545
7976,49953,11099,22.8499527,41.29662323,66.59328461,92.05327606,111.2532883,111.6766052,106.1832809,96.69661713,73.60328674,46.80662537,26.3499527,17.46328545
7977,49954,11100,19.83995247,35.97328568,58.09661865,83.2166214,102.2199554,103.6699524,99.55993652,91.3132782,69.53329468,42.91995621,23.52995491,15.49661732
7978,49955,11101,19.83995247,35.97328568,58.09661865,83.2166214,102.2199554,103.6699524,99.55993652,91.3132782,69.53329468,42.91995621,23.52995491,15.49661732
7979,49956,11102,15.90661907,28.78328514,47.45329285,72.69994354,92.71327972,96.74328613,93.08662415,84.81995392,64.00328064,37.9432869,19.5599556,12.68328381
7980,49957,11103,20.8099556,36.90328598,57.6799469,80.68994904,98.82328033,103.2632828,98.029953,86.53328705,67.05995178,41.92995453,23.39995384,15.67661953
7981,49958,11104,20.8099556,36.90328598,57.6799469,80.68994904,98.82328033,103.2632828,98.029953,86.53328705,67.05995178,41.92995453,23.39995384,15.67661953
7982,49959,11105,23.79662132,42.20328522,64.87661743,87.23329163,103.5299454,106.7232895,100.5566254,87.78329468,69.84328461,45.3199501,26.04328537,17.56661987
7983,49960,11106,23.79662132,42.20328522,64.87661743,87.23329163,103.5299454,106.7232895,100.5566254,87.78329468,69.84328461,45.3199501,26.04328537,17.56661987
7984,49961,11107,24.83328438,44.62662506,69.04328918,92.33328247,106.7999573,107.1432877,100.6766205,88.53327942,72.36328888,48.12328339,27.49995232,18.35662079
7985,49962,11108,24.83328438,44.62662506,69.04328918,92.33328247,106.7999573,107.1432877,100.6766205,88.53327942,72.36328888,48.12328339,27.49995232,18.35662079
7986,49963,11109,19.26995277,35.81328964,59.52662277,84.82662201,100.8099442,102.8199539,97.15995789,86.25328827,69.31994629,44.46329498,23.52661896,14.88662052
7987,49964,11110,19.26995277,35.81328964,59.52662277,84.82662201,100.8099442,102.8199539,97.15995789,86.25328827,69.31994629,44.46329498,23.52661896,14.88662052
7988,49965,11111,16.52662086,31.24328423,54.88328552,81.55994415,98.52663422,100.7966156,95.44329071,84.32327271,67.82662201,42.92995453,21.40328598,13.22661972
7989,49966,11112,16.52662086,31.24328423,54.88328552,81.55994415,98.52663422,100.7966156,95.44329071,84.32327271,67.82662201,42.92995453,21.40328598,13.22661972
7990,49967,11113,16.61995316,30.9366188,55.08661652,82.52661896,99.99996185,101.1266174,95.53328705,82.779953,67.87328339,43.50328064,21.13328743,13.38995075
7991,49968,11114,16.61995316,30.9366188,55.08661652,82.52661896,99.99996185,101.1266174,95.53328705,82.779953,67.87328339,43.50328064,21.13328743,13.38995075
7992,49969,11115,22.53661919,40.82329178,68.35328674,94.26329041,107.026619,105.6266098,96.87661743,85.71994781,73.09663391,48.88328934,26.05328751,17.42995453
7993,49970,11116,22.53661919,40.82329178,68.35328674,94.26329041,107.026619,105.6266098,96.87661743,85.71994781,73.09663391,48.88328934,26.05328751,17.42995453
7994,49971,11117,25.35661888,45.62995148,75.18994904,100.3099594,110.7999573,107.3899612,97.5632782,87.79662323,76.15663147,51.54328156,28.53328514,19.4366188
7995,49972,11118,25.04995155,45.40328217,75.56661987,100.6199646,111.2699661,106.483284,97.54328918,89.00328827,77.05327606,51.43328857,28.57661819,19.41328621
7996,49973,11119,25.04995155,45.40328217,75.56661987,100.6199646,111.2699661,106.483284,97.54328918,89.00328827,77.05327606,51.43328857,28.57661819,19.41328621
7997,49974,11120,19.22995377,36.51328659,64.9932785,92.86995697,107.6532822,105.0266113,97.25996399,88.53662109,74.32662201,47.35661316,24.50995255,15.42995262
7998,49975,11121,19.22995377,36.51328659,64.9932785,92.86995697,107.6532822,105.0266113,97.25996399,88.53662109,74.32662201,47.35661316,24.50995255,15.42995262
7999,49976,11122,16.79661942,32.4366188,59.78328323,88.41994476,105.916626,103.7366257,96.31994629,88.13329315,72.12329102,45.29995346,22.64661789,13.62995338
8000,49977,11123,16.79661942,32.4366188,59.78328323,88.41994476,105.916626,103.7366257,96.31994629,88.13329315,72.12329102,45.29995346,22.64661789,13.62995338
8001,49978,11124,17.72661972,33.19662094,59.94995499,87.2966156,106.099968,102.5999527,94.70995331,87.82660675,70.41661835,45.26329041,23.02328491,14.02662182
